address,city,county,state,latitude,longitude,stateFIPS,GEOID
"1901 N.Tustin Ave, Santa Ana, CA 92705",Santa Ana,Orange County,CA,33.762492,-117.834631,6,6059
"12304 Santa Monica Blvd., #116, Los Angeles, CA 90025",Los Angeles,Los Angeles County,CA,34.039247,-118.465845,6,6037
"41715 Winchester Rd. #204, Temecula, CA 92590",Temecula,Riverside County,CA,33.51876,-117.168456,6,6065
"24241 Hawthorne Blvd, Unit 201, Torrance, CA 90505",Torrance,Los Angeles County,CA,33.802501,-118.351346,6,6037
"501 S Vincent Ave Suite 205, West Covina, CA 91790",West Covina,Los Angeles County,CA,34.066667,-117.927985,6,6037
"43845 10th St W #1E, Lancaster, CA 93534",Lancaster,Los Angeles County,CA,34.680092,-118.148474,6,6037
"25 Lindsley Dr., Suite 101, Morristown, NJ 07960",Morristown,Morris County,NJ,40.800408,-74.46095,34,34027
"601 Ewing Street, Suite A-3, Princeton, NJ 08540",Princeton,Mercer County,NJ,40.370314,-74.658814,34,34021
"4000 Victory Blvd, Staten Island, NY 10314",Staten Island,Richmond County,NY,40.593433,-74.187372,36,36085
"1142 Grove Road, Greenville, SC 29605",Greenville,Greenville County,SC,34.808954,-82.421443,45,45045
"17 Fontana Lane, Suite 201, Rosedale, MD 21237",Rosedale,Baltimore County,MD,39.339144,-76.489872,24,24005
"100 Cummings Center, Suite 110-E, Beverly, MA 01915",Beverly,Essex County,MA,42.559708,-70.886073,25,25009
"215 Summer Street, Suite 16, Haverhill, MA 01830",Haverhill,Essex County,MA,42.776004,-71.067949,25,25009
"280 Merrimack Street, Suite 544, Lawrence, MA 01843",Lawrence,Essex County,MA,42.703154,-71.148477,25,25009
"300 E. Hampden Ave., Suite 201, Denver, CO 80206",Denver,Denver County,CO,39.65322,-104.923465,8,8031
"1155 W. Central Ave, Suite 214, Santa Ana, CA 92707",Santa Ana,Orange County,CA,33.713159,-117.88435,6,6059
"241 W Olive Ave, Burbank, CA 91502",Burbank,Los Angeles County,CA,34.174404,-118.315992,6,6037
"2226 E Cesar Chavez Ave, Los Angeles, CA 90033",Los Angeles,Los Angeles County,CA,34.05038,-118.211991,6,6037
"7024 Seville Ave, Suite A, Huntington Park, CA 90255",Huntington Park,Los Angeles County,CA,33.975642,-118.222138,6,6037
"8349 Reseda Blvd, Northridge, CA 91324",Northridge,Los Angeles County,CA,34.222156,-118.536289,6,6037
"418 San Fernando Mission Blvd, San Fernando, CA 91340",San Fernando,Los Angeles County,CA,34.282688,-118.444531,6,6037
"7220 Woodman Ave, Suite 106, Van Nuys, CA 91405",Van Nuys,Los Angeles County,CA,34.201964,-118.431058,6,6037
"320 East Fulton, Grand Rapids, MI, 49503",Grand Rapids,Kent County,MI,42.96279,-85.660923,26,26081
"500 E. Schuster Ave., Suite B, El Paso, TX 79902",El Paso,El Paso County,TX,31.771198,-106.494201,48,48141
"5290 McNutt Road, Suite 106, Sunland Park, NM 88008",Sunland Park,Doña Ana County,NM,31.848434,-106.624765,35,35013
"1602 21st Street, Granite City, IL 62040",Granite City,Madison County,IL,38.703207,-90.147753,17,17119
"210 Kings Highway, Shreveport, LA 71104",Shreveport,Caddo Parish,LA,32.481929,-93.734079,22,22017
"4820 San Jacinto, Houston, TX 77004",Houston,Harris County,TX,29.729907,-95.3843,48,48201
"5225 Katy Freeway, Suite 370, Houston, TX 77007",Houston,Harris County,TX,29.776733,-95.414012,48,48201
"1186 Roosevelt Road, Glen Ellyn, IL 60137",Glen Ellyn,DuPage County,IL,41.860227,-88.031912,17,17043
"1700 75th Street, Downers Grove, IL 60516",Downers Grove,DuPage County,IL,41.751574,-88.024973,17,17043
"203 E Irving Park Road, Wood Dale, IL 60191",Wood Dale,DuPage County,IL,41.963122,-87.974213,17,17043
"2415 S. Michigan Avenue, Chicago, IL 60616",Chicago,Cook County,IL,41.848813,-87.62325,17,17031
"2903 North State Street, Jackson, MS 39216",Jackson,Hinds County,MS,32.334618,-90.177028,28,28049
